yona_file,yona_line,yona_file_ref,yona_line_range,ticket,gl_ids
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,316,ProjectApi.java,378-389,,GL-controllers_api_ProjectApi-022
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,326,ProjectApi.java,441-450,,GL-controllers_api_ProjectApi-025
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,338,ProjectApi.java,276-320,,GL-controllers_api_ProjectApi-016;GL-controllers_api_ProjectApi-017
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,378,ProjectApi.java,276-320,,GL-controllers_api_ProjectApi-016;GL-controllers_api_ProjectApi-017
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,408,ProjectApi.java,391-421,,GL-controllers_api_ProjectApi-023;GL-controllers_api_ProjectApi-024
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectApiController.kt,430,ProjectApi.java,391-421,,GL-controllers_api_ProjectApi-023;GL-controllers_api_ProjectApi-024
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,444,CodeApp.java,135-164,P2-30,GL-controllers_CodeApp-006
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,499,ProjectApp.java,168-178,P2-34,GL-controllers_ProjectApp-016;GL-controllers_ProjectApp-017
src/main/kotlin/com/github/yonaprojects/yona/web/ProjectViewController.kt,523,ProjectApp.java,184-186,P2-34,GL-controllers_ProjectApp-018
src/main/kotlin/com/github/yonaprojects/yona/web/PullRequestViewController.kt,668,PullRequest.java,1063-1103,P1-114,GL-models_PullRequest-100
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,168,UserApp.java,1016-1020,,GL-controllers_UserApp-075
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,296,UserApi.java,218-241,P1-118,GL-controllers_api_UserApi-014
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,314,UserApi.java,407-434,,GL-controllers_api_UserApi-024;GL-controllers_api_UserApi-025;GL-controllers_api_UserApi-026
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,355,UserApi.java,244-265,P1-118,GL-controllers_api_UserApi-015
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,385,UserApi.java,320-339,P1-118,GL-controllers_api_UserApi-018;GL-controllers_api_UserApi-019
src/main/kotlin/com/github/yonaprojects/yona/web/UserController.kt,403,UserApi.java,341-379,P1-118,GL-controllers_api_UserApi-020;GL-controllers_api_UserApi-021
src/main/kotlin/com/github/yonaprojects/yona/web/UserViewController.kt,221,UserApp.java,811-846,P0-25,GL-controllers_UserApp-064
src/main/kotlin/com/github/yonaprojects/yona/web/UserViewController.kt,233,UserApp.java,740-743,P2-38,GL-controllers_UserApp-059
src/main/kotlin/com/github/yonaprojects/yona/web/UserViewController.kt,251,UserApp.java,757-759,P2-38,GL-controllers_UserApp-060
src/main/kotlin/com/github/yonaprojects/yona/web/UserViewController.kt,297,UserApp.java,1101-1114,,GL-controllers_UserApp-079;GL-controllers_UserApp-080
src/main/kotlin/com/github/yonaprojects/yona/web/WatchController.kt,242,WatcherApi.java,26-58,,GL-controllers_api_WatcherApi-002
src/main/kotlin/com/github/yonaprojects/yona/web/WebhookController.kt,82,Webhook.java,74-81,P2-28,GL-models_Webhook-006
src/main/kotlin/com/github/yonaprojects/yona/config/git/GitProjectVisitRecorder.kt,12,GitApp.java,88-137,P2-09,GL-controllers_GitApp-005
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,190,AccessControl.java,100-118,P2-34,GL-utils_AccessControl-006;GL-utils_AccessControl-007
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,205,AccessControl.java,100-118,P2-34,GL-utils_AccessControl-006;GL-utils_AccessControl-007
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,256,AccessControl.java,"250-259,274-279,368-383",P1-82,GL-utils_AccessControl-013
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,306,AccessControl.java,119-203,,GL-utils_AccessControl-008
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,339,AccessControl.java,119-203,,GL-utils_AccessControl-008
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,349,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,378,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,404,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,429,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,454,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,480,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,505,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,530,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,555,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,579,AccessControl.java,205-301,P1-87,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/security/AccessControl.kt,632,AccessControl.java,205-301,,GL-utils_AccessControl-009
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,278,models/User.java,247-250,,GL-models_User-044
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,516,models/OrganizationUser.java,70-72,,GL-models_OrganizationUser-010
src/main/kotlin/com/github/yonaprojects/yona/config/TemplateHelper.kt,524,models/User.java,677-683,,GL-models_User-078
src/test/kotlin/com/github/yonaprojects/yona/domain/mail/IncomingMailProcessingServiceSpec.kt,181,IssueApp.java,1004-1011,,GL-controllers_IssueApp-049
src/test/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentServiceSpec.kt,120,Attachment.java,438-477,P2-26,GL-models_Attachment-035
src/test/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentServiceSpec.kt,221,Attachment.java,75-85,P2-24,GL-models_Attachment-013;GL-models_Attachment-014;GL-models_Attachment-015
src/test/kotlin/com/github/yonaprojects/yona/domain/attachment/AttachmentServiceSpec.kt,242,FileUtil.java,113-142,P2-25,GL-utils_FileUtil-007;GL-utils_FileUtil-008
src/test/kotlin/com/github/yonaprojects/yona/domain/project/ProjectServiceImplSpec.kt,164,FavoriteProject.java,41-50,P2-27,GL-models_FavoriteProject-008
src/test/kotlin/com/github/yonaprojects/yona/domain/project/ProjectUserServiceSpec.kt,65,NotificationEvent.java,1468-1477,P2-20,GL-models_NotificationEvent-100
src/test/kotlin/com/github/yonaprojects/yona/domain/project/ProjectUserServiceSpec.kt,173,NotificationEvent.java,1468-1477,P2-20,GL-models_NotificationEvent-100
src/test/kotlin/com/github/yonaprojects/yona/domain/project/ProjectUserServiceSpec.kt,190,EnrollProjectApp.java,55-71,P1-142,GL-controllers_EnrollProjectApp-003
src/test/kotlin/com/github/yonaprojects/yona/domain/project/ProjectUserServiceSpec.kt,190,EnrollProjectApp.java,55-71,P1-123,GL-controllers_EnrollProjectApp-003
src/test/kotlin/com/github/yonaprojects/yona/domain/issue/IssueServiceSpec.kt,470,IssueApi.java,1176-1210,P1-101,GL-controllers_api_IssueApi-064;GL-controllers_api_IssueApi-065
src/test/kotlin/com/github/yonaprojects/yona/domain/issue/IssueCommentRepositorySpec.kt,14,Search.java,594-602,P1-83,GL-models_Search-046
src/test/kotlin/com/github/yonaprojects/yona/domain/comment/CommentServiceSpec.kt,200,IssueApp.java,1020-1057,P2-17,GL-controllers_IssueApp-050
src/test/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceSpec.kt,201,EnrollOrganizationApp.java,"82,101-104",P1-123,GL-controllers_EnrollOrganizationApp-005
src/test/kotlin/com/github/yonaprojects/yona/domain/organization/OrganizationServiceSpec.kt,255,FavoriteOrganization.java,38-46,P2-19,GL-models_FavoriteOrganization-007
src/test/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceSpec.kt,311,Webhook.java,182-192,P1-132,GL-models_Webhook-017;GL-models_Webhook-018
src/test/kotlin/com/github/yonaprojects/yona/domain/webhook/WebhookServiceSpec.kt,395,Webhook.java,284-298,,GL-models_Webhook-024
src/test/kotlin/com/github/yonaprojects/yona/domain/support/YonaUpdateServiceSpec.kt,14,YobiUpdate.java,40-41,P2-10,GL-models_YobiUpdate-002
src/test/kotlin/com/github/yonaprojects/yona/domain/support/AutoLinkRendererSpec.kt,25,utils/AutoLinkRenderer.java,268-296,P2-35,GL-utils_AutoLinkRenderer-022;GL-utils_AutoLinkRenderer-023
src/test/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImplSpec.kt,62,utils/Markdown.java,132-159,,GL-utils_Markdown-010
src/test/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImplSpec.kt,123,utils/Markdown.java,103-130,P2-32,GL-utils_Markdown-009
src/test/kotlin/com/github/yonaprojects/yona/domain/support/MarkdownServiceImplSpec.kt,327,Markdown.java,346-356,P1-139,GL-utils_Markdown-017;GL-utils_Markdown-018
src/test/kotlin/com/github/yonaprojects/yona/domain/pullrequest/CodeReviewServiceSpec.kt,638,AccessControl.java,205-301,P1-116,GL-utils_AccessControl-009
src/test/kotlin/com/github/yonaprojects/yona/domain/pullrequest/ReviewCommentRepositorySpec.kt,13,Search.java,707-715,P1-83,GL-models_Search-061;GL-models_Search-062
src/test/kotlin/com/github/yonaprojects/yona/domain/mention/MentionServiceImplSpec.kt,36,Mention.java,33-49,,GL-models_Mention-004;GL-models_Mention-005;GL-models_Mention-006;GL-models_Mention-007;GL-models_Mention-008
